Identificador da transação;Bandeira do Cartão;Distância de Casa;Distância da Última Transação;Razão entre o valor da compra e o valor médio;Local Repetido;Usou Chip;Usou Senha;Online;Fraude
18A79;AMEX;157,7249053;6,782006923;0,215050293;1;0;0;1;?
18C82;AMEX;18,05086098;4,319051377;0,453059243;1;0;0;1;?
18FCA;ELO;328,0356118;1,163802549;3,339325714;1;0;0;1;?
19717;MASTER;15,68449535;0,044943267;1,400933123;1;0;0;1;?
19972;VISA;1,665179314;2,097129573;5,200222538;0;1;0;1;?
19E45;MASTER;17,14443524;0,221329646;5,063427864;1;0;0;1;?
1A173;DINNERS;7,38390574;0,224351714;2,280146884;1;0;0;1;?
1A1DC;AMEX;13,49194012;24,82472884;10,19435884;1;0;0;0;?
1A7F4;ELO;1,358794849;1,071240874;8,565492211;0;1;0;1;?
1AE56;ELO;2,690045969;2,902193365;0,401838122;1;0;0;1;?
1AF6F;DINNERS;8,319802056;2,946593701;0,069985115;1;1;0;1;?
1AFCC;MASTER;132,1193402;1,734558255;0,507687697;1;0;0;1;?
1B403;VISA;22,85493929;0,065104802;4,609457564;1;1;0;1;?
1B5AC;DINNERS;3,246637106;0,100644305;0,764646055;1;0;1;1;?
1BA52;AMEX;17,92387968;0,461617856;0,200492719;1;1;0;1;?
1BB45;VISA;1,006027006;0,074332635;14,50168757;0;0;0;1;?
1BCFE;MASTER;30,54817932;1,362458796;5,674145913;1;0;1;1;?
1BEE9;ELO;15,34237;0,617280499;15,61486841;1;1;0;1;?
1BFD9;DINNERS;3,15793856;1,518898874;10,37461359;1;0;0;1;?
1C1A9;DINNERS;6,723445292;4,018906101;0,82020881;1;1;0;1;?
1C6C3;AMEX;3,657784024;0,086008937;0,565987665;1;0;0;0;?
1CF1E;ELO;47,41568031;8,21839401;0,72109791;1;0;0;1;?
1D162;MASTER;3,252473731;2,164226739;0,457781061;1;1;0;1;?
1D425;VISA;164,1029649;0,205730269;15,97030197;1;1;0;0;?
1D7E4;MASTER;12,71240607;0,523581764;0,653477852;1;1;0;1;?
1D9F5;MASTER;181,8786677;4,221286879;1,156859995;1;0;0;1;?
1DB90;MASTER;11,08079402;0,245596563;1,273299618;1;0;0;1;?
1DE2B;ELO;199,0379021;5,926014877;0,116490862;1;0;0;1;?
1DFAB;ELO;4,783225966;0,166064436;15,27612206;1;0;0;1;?
